family,outcome,horizon_minutes,draw,shift_buckets,shift_days,permuted_coefficient,valid_observations
future_absolute_return,abs_forward_return_5m_bps,5,1,12489,130.09375,-0.05975959401128561,223142
future_absolute_return,abs_forward_return_5m_bps,5,2,24941,259.8020833333333,-0.15512526729248102,223850
future_absolute_return,abs_forward_return_5m_bps,5,3,17919,186.65625,0.07752236057688029,222809
future_absolute_return,abs_forward_return_5m_bps,5,4,14125,147.13541666666666,-0.12714941491247328,223063
future_absolute_return,abs_forward_return_5m_bps,5,5,14045,146.30208333333334,-0.11221552968641238,222874
future_absolute_return,abs_forward_return_5m_bps,5,6,34338,357.6875,0.02263654266290633,226456
future_absolute_return,abs_forward_return_5m_bps,5,7,23729,247.17708333333334,-0.4255343948018817,223310
future_absolute_return,abs_forward_return_5m_bps,5,8,8107,84.44791666666667,-0.2928807919679263,224373
future_absolute_return,abs_forward_return_5m_bps,5,9,31451,327.6145833333333,0.512768281407899,225042
future_absolute_return,abs_forward_return_5m_bps,5,10,29283,305.03125,-0.4541973821441726,225025
future_absolute_return,abs_forward_return_5m_bps,5,11,18790,195.72916666666666,-0.07074163823755852,223194
future_absolute_return,abs_forward_return_5m_bps,5,12,14421,150.21875,-0.057831030270050966,222736
future_absolute_return,abs_forward_return_5m_bps,5,13,17536,182.66666666666666,-0.03866260222945471,222892
future_absolute_return,abs_forward_return_5m_bps,5,14,15116,157.45833333333334,0.04726424894465318,222815
future_absolute_return,abs_forward_return_5m_bps,5,15,27653,288.0520833333333,-0.2231219022813936,224755
future_absolute_return,abs_forward_return_5m_bps,5,16,28301,294.8020833333333,-0.08776003200640606,224764
future_absolute_return,abs_forward_return_5m_bps,5,17,5259,54.78125,-0.045751437058206154,224884
future_absolute_return,abs_forward_return_5m_bps,5,18,22575,235.15625,-0.10944552233386635,223085
future_absolute_return,abs_forward_return_5m_bps,5,19,4144,43.166666666666664,0.1114009626792763,225178
future_absolute_return,abs_forward_return_5m_bps,5,20,24606,256.3125,-0.05201552831352655,223566
future_absolute_return,abs_forward_return_5m_bps,5,21,16893,175.96875,-0.4212233259430957,223322
future_absolute_return,abs_forward_return_5m_bps,5,22,26460,275.625,0.034909830154856276,224068
future_absolute_return,abs_forward_return_5m_bps,5,23,10005,104.21875,-0.07945698037740714,223813
future_absolute_return,abs_forward_return_5m_bps,5,24,16621,173.13541666666666,0.238979012101525,222987
future_absolute_return,abs_forward_return_5m_bps,5,25,10779,112.28125,-0.5401810536148698,223679
future_absolute_return,abs_forward_return_5m_bps,5,26,25760,268.3333333333333,0.070016960428769,224024
future_absolute_return,abs_forward_return_5m_bps,5,27,24612,256.375,-0.10654753943301483,223518
future_absolute_return,abs_forward_return_5m_bps,5,28,22230,231.5625,-0.08951480277675887,223105
future_absolute_return,abs_forward_return_5m_bps,5,29,7721,80.42708333333333,0.018390311323252643,224005
future_absolute_return,abs_forward_return_5m_bps,5,30,16774,174.72916666666666,-0.05263417969085314,223015
future_absolute_return,abs_forward_return_5m_bps,5,31,30620,318.9583333333333,0.13970666268615922,225256
future_absolute_return,abs_forward_return_5m_bps,5,32,1532,15.958333333333334,-0.0059836782212305956,226256
