cum_pnl,n_entries,sharpe,mdd,perm_id
0.0037918141470112653,2,0.7563271048526126,-0.004541779897693131,0
-0.001753208740594603,2,-1.147610583724833,-0.002726518754869815,1
0.005888894431123028,1,1.9010158826634287,0.0,2
-0.03379469396098347,3,-1.576398082620286,-0.0398200727921464,3
-0.0373450130708779,3,-1.7434585383003762,-0.04436185268983953,4
-0.0031337990215306658,1,-1.9010158826634287,-0.0031337990215306658,5
0.0027250839615078747,2,0.5297793645953459,-0.005384016618621064,6
-0.0049437008017778035,2,-2.268316482208315,-0.0049437008017778035,7
0.0,0,,0.0,8
0.0044772251116325535,1,1.9010158826634285,0.0,9
-0.00019538427414605465,2,-0.10284246522197261,-0.0026369825820744693,10
0.004386304349868635,1,1.9010158826634282,0.0,11
0.0,0,,0.0,12
0.0,0,,0.0,13
-0.00793454909891526,2,-2.4363360298574044,-0.00793454909891526,14
-0.006790776631500196,1,-1.9010158826634282,-0.006790776631500196,15
0.0009733100142752119,1,1.901015882663429,0.0,16
0.0,0,,0.0,17
-0.008705977661386545,3,-3.238321391445303,-0.008705977661386545,18
0.002288778822014774,1,1.9010158826634278,0.0,19
-0.005796883783146891,2,-2.1452802971852343,-0.005796883783146891,20
-0.015821561400008753,2,-1.9879458283031897,-0.015821561400008753,21
0.0,0,,0.0,22
0.006897796146685015,4,1.8391780854637845,-0.0031337990215306658,23
0.0,0,,0.0,24
0.0,0,,0.0,25
0.0,0,,0.0,26
0.007512504097698476,5,1.743003231802908,-0.0031337990215306658,27
0.0044772251116325535,1,1.9010158826634285,0.0,28
-0.007675578919223797,2,-2.656769380335544,-0.007675578919223797,29
0.005645290818347047,2,2.3070308186848854,0.0,30
-0.000408715060022791,3,-0.07560564298507443,-0.00851781564015173,31
0.0018894297428973176,2,0.68269562333602,-0.0026369825820744693,32
0.008109100580128939,1,1.9010158826634282,0.0,33
0.0,0,,0.0,34
-0.028416928823316135,3,-1.3248650153247379,-0.0398200727921464,35
0.0,0,,0.0,36
-0.015767204240701195,3,-2.914884982808146,-0.015767204240701195,37
0.0,0,,0.0,38
0.003309327534827058,1,1.9010158826634285,0.0,39
-0.008060026034170081,6,-0.9848299630546347,-0.01394892046529311,40
0.0030583190801971604,1,1.9010158826634274,0.0,41
-0.018443775944615687,4,-2.442481454217288,-0.018443775944615683,42
-0.002726518754869815,1,-1.9010158826634285,-0.002726518754869815,43
